Strike                   Symbol                   Last                     Chg                      Bid                      Ask                      Vol                      Open Int                 
565.00                   AAPL7140228C00565000     0.19                      1.28                    0.03                     0.22                     2                        62                       
567.50                   AAPL140228C00567500      0.14                      0.06                    0.12                     0.15                     37                       471                      
570.00                   AAPL140228C00570000      0.13                      0.04                    0.10                     0.12                     550                      1,491                    
570.00                   AAPL7140228C00570000     0.20                      0.29                    0.05                     0.19                     1                        37                       
572.50                   AAPL140228C00572500      0.11                      0.08                    0.09                     0.11                     36                       371                      
575.00                   AAPL140228C00575000      0.09                      0.04                    0.07                     0.13                     175                      1,039                    
575.00                   AAPL7140228C00575000     0.66                      0.00                    N/A                      0.21                     1                        15                       
577.50                   AAPL140228C00577500      0.09                      0.02                    0.07                     0.14                     31                       316                      
580.00                   AAPL140228C00580000      0.09                      0.05                    0.07                     0.09                     386                      767                      
580.00                   AAPL7140228C00580000     8.05                      0.00                    N/A                      0.15                     10                       10                       
582.50                   AAPL140228C00582500      0.07                      0.06                    0.06                     0.14                     18                       65                       
585.00                   AAPL140228C00585000      0.07                      0.05                    0.06                     0.15                     84                       390                      
585.00                   AAPL7140228C00585000     8.00                      0.00                    N/A                      0.20                     1                        15                       
590.00                   AAPL140228C00590000      0.07                      0.00                    0.05                     0.07                     721                      405                      
590.00                   AAPL7140228C00590000     6.20                      0.00                    N/A                      0.47                     6                        18                       
592.50                   AAPL140228C00592500      0.05                      0.05                    0.03                     0.06                     50                       25                       
595.00                   AAPL140228C00595000      0.05                      0.04                    0.04                     0.05                     671                      172                      
595.00                   AAPL7140228C00595000     4.95                      0.00                    N/A                      0.46                     10                       10                       
597.50                   AAPL140228C00597500      0.05                      0.05                    0.02                     0.07                     73                       11                       
600.00                   AAPL140228C00600000      0.04                      0.00                    0.04                     0.05                     424                      791                      
600.00                   AAPL7140228C00600000     4.75                      0.00                    N/A                      0.50                     1                        11                       
610.00                   AAPL140228C00610000      0.04                      0.01                    N/A                      0.04                     396                      221                      
610.00                   AAPL7140228C00610000     0.39                      0.00                    N/A                      0.45                     0                        20                       
620.00                   AAPL140228C00620000      0.02                      0.03                    N/A                      0.05                     707                      215                      
620.00                   AAPL7140228C00620000     0.35                      0.00                    N/A                      0.50                     12                       12                       
630.00                   AAPL140228C00630000      0.03                      0.01                    N/A                      0.04                     713                      307                      
630.00                   AAPL7140228C00630000     0.25                      0.00                    N/A                      0.43                     10                       28                       
640.00                   AAPL140228C00640000      0.02                      0.03                    N/A                      0.04                     659                      89                       
640.00                   AAPL7140228C00640000     1.24                      0.00                    N/A                      0.43                     10                       10                       
